id,title,url,date_iso,year,abstract,source,doi,notes
11,Absence of γ-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,7/1/2014,2014,"The dystrophin glycoprotein complex (DGC) is located at the sarcolemma of muscle fibers, providing structural integrity. Mutations in and loss of DGC proteins cause a spectrum of muscular dystrophies. When only the sarcoglycan subcomplex is absent, ...",html/json-ld,10.1186/2044-5040-4-13,
12,5AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,1/26/2011,2011,"Rab GTPases are important regulators of endomembrane trafficking, regulating exocytosis, endocytosis and membrane recycling. Many Rab-like proteins exist in plants, but only a subset have been functionally characterized. Here we report that AtRabD2b ...",html/json-ld,10.1186/1471-2229-11-25,
13,TNO1 Is Involved in Salt Tolerance and Vacuolar Trafficking in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,4/26/2011,2011,"The Arabidopsis (Arabidopsis thaliana) soluble N-ethylmaleimide-sensitive factor attachment protein receptor SYP41 is involved in vesicle fusion at the trans-Golgi network (TGN) and interacts with AtVPS45, SYP61, and VTI12. These proteins are ...",html/json-ld,10.1104/pp.110.168963,
14,Identification of a novel Golgi-localized putative glycosyltransferase protein in Arabidopsis thaliana,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,3/25/2024,2024,"SNAREs play an important role in the process of membrane trafficking. In the present research, we investigated subcellular localization of an uncharacterized Arabidopsis thaliana protein reported to interact with a trans-Golgi network-localized ...",html/json-ld,10.5511/plantbiotechnology.23.1214a,
15,"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,4/11/2017,2017,"The movement of plant roots within the soil is key to their ability to interact with the environment and maximize anchorage and nutrient acquisition. Directional growth of roots occurs by a combination of sensing external cues, hormonal signaling ...",html/json-ld,10.1186/s12870-017-1024-4,
16,Gravitropism and Lateral Root Emergence are Dependent on the Trans-Golgi Network Protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,11/12/2015,2015,"The trans-Golgi network (TGN) is a dynamic organelle that functions as a relay station for receiving endocytosed cargo, directing secretory cargo, and trafficking to the vacuole. TGN-localized SYP41-interacting protein (TNO1) is a large, ...",html/json-ld,10.3389/fpls.2015.00969,
17,"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,4/11/2017,2017,"The movement of plant roots within the soil is key to their ability to interact with the environment and maximize anchorage and nutrient acquisition. Directional growth of roots occurs by a combination of sensing external cues, hormonal signaling ...",html/json-ld,10.1186/s12870-017-1024-4,
18,The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,7/20/2010,2010,"Maintaining the proximity of centrosomes to nuclei is important in several cellular contexts, and LINC complexes formed by SUN and KASH proteins are crucial in this process. Here, we characterize the presumed Drosophila ortholog of the mammalian SUN ...",html/json-ld,10.1242/jcs.066589,
19,Toll Mediated Infection Response Is Altered by Gravity and Spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,1/24/2014,2014,"Space travel presents unlimited opportunities for exploration and discovery, but requires better understanding of the biological consequences of long-term exposure to spaceflight. Immune function in particular is relevant for space travel. Human ...",html/json-ld,10.1371/journal.pone.0086485,
20,Author Correction: Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,1/27/2020,2020,An amendment to this paper has been published and can be accessed via a link at the top of the paper.,html/json-ld,10.1038/s41598-020-58490-w,
21,GeneLab Database Analyses Suggest Long-Term Impact of Space Radiation on the Cardiovascular System by the Activation of FYN Through Reactive Oxygen Species,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,2/3/2019,2019,"Space radiation has recently been considered a risk factor for astronauts’ cardiac health. As an example, for the case of how to query and identify datasets within NASA’s GeneLab database and demonstrate the database utility, we used an unbiased ...",html/json-ld,10.3390/ijms20030661,
22,FAIRness and Usability for Open-access Omics Data Systems,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,12/5/2018,2018,"Omics data sharing is crucial to the biological research community, and the last decade or two has seen a huge rise in collaborative analysis systems, databases, and knowledge bases for omics and other systems biology data. We assessed the ...",html/json-ld,10.1101/gr.4086505,
23,NASA GeneLab Platform Utilized for Biological Response to Space Radiation in Animal Models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,2/7/2020,2020,Background: Ionizing radiation from galactic cosmic rays (GCR) is one of the major risk factors that will impact the health of astronauts on extended missions outside the protective effects of the Earth’s magnetic field. The NASA GeneLab project has ...,html/json-ld,10.3390/cancers12020381,
24,Circulating miRNA Spaceflight Signature Reveals Targets for Countermeasure Development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,11/25/2020,2020,"We have identified and validated a spaceflight-associated microRNA (miRNA) signature that is shared by rodents and humans in response to simulated, short-duration and long-duration spaceflight. Previous studies have identified miRNAs that regulate ...",html/json-ld,10.1016/j.celrep.2020.108448,
25,Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,8/24/2022,2022,"Antimicrobial resistance (AMR) has a detrimental impact on human health on Earth and it is equally concerning in other environments such as space habitat due to microgravity, radiation and confinement, especially for long-distance space travel. The ...",html/json-ld,10.1186/s40168-022-01332-w,
26,Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,7/5/2022,2022,"Outer space is an extremely hostile environment for human life, with ionizing radiation from galactic cosmic rays and microgravity posing the most significant hazards to the health of astronauts. Spaceflight has also been shown to have an impact on ...",html/json-ld,10.3390/ijms23137465,
27,Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,9/24/2022,2022,Human expansion in space is hampered by the physiological risks of spaceflight. The muscle and the liver are among the most affected tissues during spaceflight and their relationships in response to space exposure have never been studied. We ...,html/json-ld,10.1016/j.isci.2022.105213,
28,Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,1/15/2024,2024,"Despite surging interest in space travel in recent decades, the impacts of prolonged, elevated exposure to galactic cosmic radiation (GCR) on human health remain poorly understood. This form of ionizing radiation causes significant changes to ...",html/json-ld,10.1038/s41598-024-51756-7,
29,"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: host extracellular to systemic effects of SARS-CoV-2 infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,11/8/2023,2023,"COVID-19, the disease caused by SARS-CoV-2, has caused significant morbidity and mortality worldwide. The betacoronavirus continues to evolve with global health implications as we race to learn more to curb its transmission, evolution, and sequelae. ...",html/json-ld,10.1038/s41431-023-01462-1,
30,Aging and putative frailty biomarkers are altered by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,6/11/2024,2024,"Human space exploration poses inherent risks to astronauts’ health, leading to molecular changes that can significantly impact their well-being. These alterations encompass genomic instability, mitochondrial dysfunction, increased inflammation, ...",html/json-ld,10.1038/s41598-024-57948-5,
31,Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,6/11/2024,2024,"Our previous research revealed a key microRNA signature that is associated with spaceflight that can be used as a biomarker and to develop countermeasure treatments to mitigate the damage caused by space radiation. Here, we expand on this work to ...",html/json-ld,10.1038/s41467-024-48920-y,
32,Ethical considerations for the age of non-governmental space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,6/11/2024,2024,"Mounting ambitions and capabilities for public and private, non-government sector crewed space exploration bring with them an increasingly diverse set of space travelers, raising new and nontrivial ethical, legal, and medical policy and practice ...",html/json-ld,10.1038/s41467-023-44357-x,
33,Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,2/4/2020,2020,"While it has been shown that astronauts suffer immune disorders after spaceflight, the underlying causes are still poorly understood and there are many variables to consider when investigating the immune system in a complex environment. ...",html/json-ld,10.1038/s41526-019-0091-2,
34,Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,11/25/2020,2020,"Understanding the effects of microgravity on human organs is crucial to exploration of low-earth orbit, the moon, and beyond. Drosophila can be sent to space in large numbers to examine the effects of microgravity on heart structure and function, ...",html/json-ld,10.1016/j.celrep.2020.108445,
35,Bundling up the Role of the Actin Cytoskeleton in Primary Root Growth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,12/16/2021,2021,"Primary root growth is required by the plant to anchor in the soil and reach out for nutrients and water, while dealing with obstacles. Efficient root elongation and bending depends upon the coordinated action of environmental sensing, signal ...",html/json-ld,10.3389/fpls.2021.777119,
36,HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/,3/3/2016,2016,A forward-genetic screen for Arabidopsis mutants hypersensitive to latrunculin B identifies HLB1 as a plant-specific protein that functions in post-Golgi traffic.,html/json-ld,10.1105/tpc.15.00794,
37,ERULUS Is a Plasma Membrane-Localized Receptor-Like Kinase That Specifies Root Hair Growth by Maintaining Tip-Focused Cytoplasmic Calcium Oscillations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,5/25/2018,2018,,html/json-ld,10.1105/tpc.18.00316,
38,Brassinosteroids Inhibit Autotropic Root Straightening by Modifying Filamentous-Actin Organization and Dynamics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,2/4/2020,2020,"When positioned horizontally, roots grow down toward the direction of gravity. This phenomenon, called gravitropism, is influenced by most of the major plant hormones including brassinosteroids. Epi-brassinolide (eBL) was previously shown to enhance ...",html/json-ld,10.3389/fpls.2020.00005,
39,Cell Type-Specific Imaging of Calcium Signaling in Arabidopsis thaliana Seedling Roots Using GCaMP3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,9/2/2020,2020,Cytoplasmic calcium ([Ca2+]cyt) is a well-characterized second messenger in eukaryotic cells. An elevation in [Ca2+]cyt levels is one of the earliest responses in plant cells after exposure to a range of environmental stimuli. Advances in ...,html/json-ld,10.3390/ijms21176385,
40,Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,4/20/2021,2021,SPIRRIG and SCAR/WAVE are molecular determinants of actin-mediated root hair development in Arabidopsis.,html/json-ld,10.1093/plcell/koab115,
41,Impact of microgravity and lunar gravity on murine skeletal and immune systems during space travel,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/,11/20/2024,2024,"Long-duration spaceflight creates a variety of stresses due to the unique environment, which can lead to compromised functioning of the skeletal and immune systems. However, the mechanisms by which organisms respond to this stress remain unclear. ...",html/json-ld,10.1038/s41598-024-79315-0,
42,S. aureus MscL Is a Pentamer In Vivo but of Variable Stoichiometries In Vitro: Implications for Detergent-Solubilized Membrane Proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/,12/7/2010,2010,Detergent-induced rearrangements of membrane-protein subunits explain why two MscL channel stoichiometries have been resolved by X-ray crystallography - but S. aureus MscL is truly a pentamer in vivo.,html/json-ld,10.1371/journal.pbio.1000555,
43,Manipulating the permeation of charged compounds through the MscL nanovalve,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/,1/1/2011,2011,"MscL is a bacterial mechanosensor that serves as a biological emergency release valve, releasing cytoplasmic solutes to the environment on osmotic downshock. Previous studies have recognized that this channel has properties that make it ideal for ...",html/json-ld,10.1096/fj.10-170076,
44,The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/,7/7/2011,2011,The mechanosensitive channel of large conductance (MscL) from E. coli serves as an emergency release valve allowing the cell to survive acute osmotic downshock. It is one of the best studied mechanosensitive channels and serves as a paradigm for how ...,html/json-ld,10.1002/pro.686,
45,Three Routes to Modulate the Pore Size of the MscL Channel/Nanovalve,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,1/6/2012,2012,"MscL is a bacterial mechanosensitive channel that protects cells from lysis upon acute decrease in external osmotic environment. It is one of the best characterized mechanosensors known, thus serving as a paradigm of how such molecules sense and ...",html/json-ld,10.1021/nn203703j,
46,The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/,7/1/2012,2012,"The bacterial mechanosensitive channel of large conductance, MscL, is one of the best characterized mechanosensitive channels serving as a paradigm for how proteins can sense and transduce mechanical forces. The physiological role of MscL is that of ...",html/json-ld,10.4161/chan.20756,
47,The MscS and MscL Families of Mechanosensitive Channels Act as Microbial Emergency Release Valves,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/,9/1/2012,2012,Single-celled organisms must survive exposure to environmental extremes. Perhaps one of the most variable and potentially life-threatening changes that can occur is that of a rapid and acute decrease in external osmolarity. This easily translates ...,html/json-ld,10.1128/JB.00576-12,
48,Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/,2/14/2013,2013,"MscL, the highly conserved bacterial mechanosensitive channel of large conductance, functionally serves as an osmotic “emergency release valve”, is among the best studied mechanosensors and a paradigm of how a channel senses and responds to membrane ...",html/json-ld,10.1016/j.celrep.2013.01.018,
49,"Correction for Boothby et al., Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/,8/22/2016,2016,,html/json-ld,10.1073/pnas.1613046113,
50,Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/,5/12/2016,2016,,html/json-ld,10.1073/pnas.1601149113,
51,Tardigrade secretory proteins protect biological structures from desiccation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/,5/25/2024,2024,"Tardigrades, microscopic animals that survive a broad range of environmental stresses, express a unique set of proteins termed tardigrade-specific intrinsically disordered proteins (TDPs). TDPs are often expressed at high levels in tardigrades upon ...",html/json-ld,10.1038/s42003-024-06336-w,
52,Correction to: The Evolution of Temperature and Desiccation-Related Protein Families in Tardigrada Reveals a Complex Acquisition of Extremotolerance,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831363/,2/17/2025,2025,,html/json-ld,10.1093/gbe/evaf018,
53,Possible roles of CAHS proteins from Tardigrade in osmotic stress tolerance in mammalian cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/,11/19/2024,2024,"Anhydrobiosis, a phenomenon in which organisms survive extreme dehydration by entering a reversible ametabolic state, is a remarkable example of survival strategies. This study focuses on anhydrobiosis in tardigrades, which are known for their ...",html/json-ld,10.1247/csf.24035,
54,Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/,2/4/2022,2022,"Water unavailability is an abiotic stress causing unfavourable conditions for life. Nevertheless, some animals evolved anhydrobiosis, a strategy allowing for the reversible organism dehydration and suspension of metabolism as a direct response to ...",html/json-ld,10.1038/s41598-022-05734-6,
55,Partial weight suspension: a novel murine model for investigating adaptation to reduced musculoskeletal loading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774184/,6/3/2010,2010,"We developed a new model of hypodynamic loading to support mice in chronic conditions of partial weight bearing, enabling simulations of reduced gravity environments and related clinical conditions. The novel hardware allows for reduced loading ...",html/json-ld,10.1152/japplphysiol.00014.2009,
56,"Partial Reductions in Mechanical Loading Yield Proportional Changes in Bone Density, Bone Architecture, and Muscle Mass",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/,4/1/2013,2013,"Although the musculoskeletal system is known to be sensitive to changes in its mechanical environment, the relationship between functional adaptation and below-normal mechanical stimuli is not well defined. We investigated bone and muscle adaptation ...",html/json-ld,10.1002/jbmr.1814,
57,Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/,12/1/2013,2013,To assess the potential of electrical impedance myography (EIM) to serve as a marker of muscle fiber atrophy and secondarily as an indicator of bone deterioration by assessing the effects of spaceflight or hind limb unloading. In the first ...,html/json-ld,10.1016/0094-5765(95)98731-n,
58,Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/,12/16/2019,2019,"Spaceflight has several detrimental effects on the physiology of astronauts, many of which are recapitulated in rodent models. Mouse studies performed on the Space Shuttle showed disruption of lipid metabolism in liver. However, given that these ...",html/json-ld,10.1038/s41598-019-55869-2,
59,Treatment With a Soluble Bone Morphogenetic Protein Type 1A Receptor (BMPR1A) Fusion Protein Increases Bone Mass and Bone Formation in Mice Subjected to Hindlimb Unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/,10/9/2017,2017,"Previous work has shown that the soluble murine BMPR1A–fusion protein (mBMPR1A‐mFc) binds to BMP2 and BMP4 with high affinity, preventing downstream signaling. Further, treatment of intact and ovariectomized mice with mBMPR1A‐mFc leads to increased ...",html/json-ld,10.1002/jbm4.10012,
60,RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/,10/12/2021,2021,"Disuse-induced bone loss is seen following spinal cord injury, prolonged bed rest, and exposure to microgravity. We performed whole transcriptomic profiling of cortical bone using RNA sequencing (RNAseq) and RNA molecular barcoding (NanoString) on a ...",html/json-ld,10.1371/journal.pone.0250715,
61,Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/,4/18/2024,2024,Introduction: It may take decades to develop cardiovascular dysfunction following exposure to high doses of ionizing radiation from medical therapy or from nuclear accidents. Since astronauts may be exposed continually to a complex space radiation ...,html/json-ld,10.3389/fphys.2024.1248276,
62,Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/,11/1/2017,2017,"The vestibular system receives a permanent influence from gravity and reflexively controls equilibrium. If we assume gravity has remained constant during the species' evolution, will its sensory system adapt to abrupt loss of that force? We address ...",html/json-ld,10.3389/fncel.2017.00348,
63,"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/,3/23/2018,2018,The utricle provides the vestibular reflex pathways with the sensory codes of inertial acceleration of self motion and head orientation with respect to gravity to control balance and equilibrium. Here we present an anatomical description of this ...,html/json-ld,10.1002/cne.24429,
64,"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1 g on the Structure and Function of the Utricle in Toadfish, Opsanus tau",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/,10/22/2018,2018,Gravity has remained constant during animal evolution and the neural sensory systems detecting acceleration forces have remained remarkably conserved among vertebrates. The utricular organ senses the sum of inertial force due to head translation and ...,html/json-ld,10.3389/fphys.2018.01469,
65,Organization of the ER–Golgi interface for membrane traffic control,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/,6/1/2013,2013,"Coat protein complex I (COPI) and COPII are required for bidirectional membrane trafficking between the endoplasmic reticulum (ER) and the Golgi. While these core coat machineries and other transport factors are highly conserved across species, ...",html/json-ld,10.1038/nrm3588,
66,IRE1: ER stress sensor and cell fate executor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/,7/21/2013,2013,Cells operate a signaling network termed unfolded protein response (UPR) to monitor protein-folding capacity in the endoplasmic reticulum (ER). IRE1 is an ER transmembrane sensor that activates UPR to maintain ER and cellular function. While ...,html/json-ld,10.1016/j.tcb.2013.06.005,
67,INTER-REGULATION OF THE UNFOLDED PROTEIN RESPONSE AND AUXIN SIGNALING,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/,12/3/2013,2013,"The unfolded protein response (UPR) is a signaling network triggered by overload of protein-folding demand in the endoplasmic reticulum (ER), a condition termed ER stress. The UPR is critical for growth and development; nonetheless, connections ...",html/json-ld,10.1111/tpj.12373,
68,Endoplasmic reticulum—shape and function in stress translation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/,9/1/2014,2014,,html/json-ld,10.3389/fpls.2014.00425,
69,Galactose-Depleted Xyloglucan Is Dysfunctional and Leads to Dwarfism in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/,2/11/2015,2015,Depleting galactose from the cell wall polysaccharide xyloglucan leads to a disruption of diverse cellular and physiological processes involved in normal plant growth.,html/json-ld,10.1104/pp.114.255943,
70,"Unfolded protein response in plants: one master, many questions",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/,7/5/2015,2015,"To overcome endoplasmic reticulum (ER) stress, ER-localized stress sensors actuate distinct downstream organelle-nucleus signaling pathways to invoke a cytoprotective response, known as the unfolded protein response (UPR). Compared to yeast and ...",html/json-ld,10.1016/j.pbi.2015.05.016,
71,Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453782/,4/16/2015,2015,Four leading cell biologists reflect on the controversial nature of the vector for transport between the ER and Golgi apparatus in higher plants.,html/json-ld,10.1104/pp.15.00124,
72,Pectin Methylesterification Impacts the Relationship between Photosynthesis and Plant Growth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902601/,4/4/2016,2016,"High levels of methylesterification of pectin allow for enhanced cell expansion, partitioning of resources to leaf growth, and increased leaf area for photosynthesis, which in turn enhance plant growth.",html/json-ld,10.1104/pp.16.00173,
73,REDUCED CHLOROPLAST COVERAGE genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776492/,2/9/2016,2016,"Mechanisms that determine the cellular volume allocated to organelles are largely unknown. We demonstrate that in the plant Arabidopsis thaliana, a small gene family that encodes proteins of unknown function contributes to a mechanism that ...",html/json-ld,10.1073/pnas.1515741113,
74,Maintaining the Factory: The Roles of the Unfolded Protein Response in Cellular Homeostasis in Plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/,3/10/2017,2017,"Much like a factory, the endoplasmic reticulum assembles simple cellular building blocks into complex molecular machines known as proteins. In order to protect the delicate protein folding process and ensure the proper cellular delivery of protein ...",html/json-ld,10.1111/tpj.13449,
